order_item_id,order_id,product_id,quantity,unit_price,line_amount
1,2673,292,1,26690.24,26690.24
2,1754,131,1,17265.3,17265.3
3,8205,129,4,36328.06,145312.24
4,2827,298,1,35152.6,35152.6
5,8754,300,2,18106.71,36213.42
6,848,188,5,44961.24,224806.2
7,827,228,4,40700.18,162800.72
8,2242,1,3,12627.58,37882.74
9,2225,205,1,7155.96,7155.96
10,4563,142,2,35335.27,70670.54
11,1526,248,2,37554.78,75109.56
12,8244,145,5,19322.84,96614.2
13,7384,135,2,35688.83,71377.66
14,6737,287,3,27128.92,81386.76
15,558,227,1,3424.59,3424.59
16,4955,72,2,11467.7,22935.4
17,5193,13,3,15392.9,46178.7
18,416,191,4,36103.22,144412.88
19,1816,27,4,6545.19,26180.76
20,8351,17,2,247.87,495.74
21,1683,27,3,4501.45,13504.35
22,5928,262,5,45427.02,227135.1
23,722,150,5,32792.38,163961.9
24,5,70,2,15734.21,31468.42
25,2739,16,1,5344.73,5344.73
26,8879,258,3,16867.7,50603.1
27,6468,44,4,7071.01,28284.04
28,2227,251,1,6482.92,6482.92
29,6173,62,2,18749.08,37498.16
30,2083,226,5,24634.2,123171.0
31,6649,3,3,2370.7,7112.1
32,7390,57,5,43294.78,216473.9
33,3462,8,1,652.91,652.91
34,8448,140,5,41690.31,208451.55
35,2401,176,3,2040.85,6122.55
36,142,109,3,33474.92,100424.76
37,1838,284,5,32201.83,161009.15
38,3474,142,3,24687.61,74062.83
39,4650,289,3,22186.18,66558.54
40,9683,233,5,7834.37,39171.85
41,9504,37,1,20322.25,20322.25
42,1301,211,3,19522.34,58567.02
43,6439,111,2,21829.69,43659.38
44,3658,42,5,27189.95,135949.75
45,9775,226,5,41092.12,205460.6
46,7531,196,5,34931.33,174656.65
47,2449,150,3,26031.02,78093.06
48,4964,260,3,4404.02,13212.06
49,7050,94,4,11224.29,44897.16
50,7205,166,3,34644.62,103933.86
51,4806,169,2,15046.33,30092.66
52,5671,137,1,20711.16,20711.16
53,8774,101,2,6097.01,12194.02
54,4346,92,1,33505.69,33505.69
55,5047,240,2,32841.09,65682.18
56,8481,17,2,7946.36,15892.72
57,811,167,3,15011.81,45035.43
58,140,87,4,47279.56,189118.24
59,1531,89,3,11266.99,33800.97
60,98,170,5,29671.1,148355.5
61,2610,16,4,30516.85,122067.4
62,251,134,2,19304.64,38609.28
63,7148,50,2,19031.27,38062.54
64,7653,213,2,15409.76,30819.52
65,8546,186,2,44276.35,88552.7
66,5331,75,5,49440.15,247200.75
67,8414,4,2,34853.2,69706.4
68,1564,77,1,5589.53,5589.53
69,2759,248,5,19940.86,99704.3
70,5543,189,5,40616.92,203084.6
71,5280,81,1,37030.13,37030.13
72,7803,251,5,41948.28,209741.4
73,185,86,5,5713.11,28565.55
74,897,164,5,48189.13,240945.65
75,3475,11,2,2821.56,5643.12
76,5109,63,4,25020.73,100082.92
77,355,85,1,15145.32,15145.32
78,3048,29,4,25708.03,102832.12
79,3083,142,1,5114.73,5114.73
80,7567,236,2,17595.3,35190.6
81,218,67,1,40471.03,40471.03
82,9585,280,3,29231.41,87694.23
83,926,221,1,43179.24,43179.24
84,4464,101,5,31782.56,158912.8
85,1486,125,3,44811.29,134433.87
86,9688,140,1,34247.71,34247.71
87,1927,263,4,7226.64,28906.56
88,4450,90,5,9768.72,48843.6
89,1355,239,3,21676.31,65028.93
90,1149,98,4,49225.17,196900.68
91,1895,59,3,29646.32,88938.96
92,6239,179,3,45012.47,135037.41
93,9738,39,4,27549.87,110199.48
94,8954,284,3,45578.86,136736.58
95,8092,202,2,13160.0,26320.0
96,7096,95,3,11215.03,33645.09
97,6998,137,1,32414.8,32414.8
98,3440,231,2,28735.53,57471.06
99,881,137,3,35698.76,107096.28
100,7578,143,1,33661.61,33661.61
101,9105,220,1,36666.99,36666.99
102,4080,244,4,44215.2,176860.8
103,461,172,3,7886.38,23659.14
104,3590,43,4,31837.24,127348.96
105,2120,253,4,45259.08,181036.32
106,2830,51,4,33377.49,133509.96
107,9215,252,2,27043.12,54086.24
108,7438,261,2,38379.87,76759.74
109,5575,5,1,42940.35,42940.35
110,3352,41,2,46643.25,93286.5
111,6113,146,5,49295.79,246478.95
112,3779,223,4,7913.11,31652.44
113,3724,193,4,5726.23,22904.92
114,3448,76,2,29459.77,58919.54
115,3235,3,2,3626.79,7253.58
116,5516,292,3,9384.65,28153.95
117,3496,120,1,16985.29,16985.29
118,1302,18,3,34882.75,104648.25
119,8920,172,1,32781.27,32781.27
120,9290,247,2,8280.29,16560.58
121,1660,26,5,28996.46,144982.3
122,9143,259,4,512.35,2049.4
123,8471,287,3,2523.64,7570.92
124,808,113,5,27402.65,137013.25
125,1643,52,2,6514.18,13028.36
126,516,119,4,1192.98,4771.92
127,6478,15,2,11413.8,22827.6
128,4521,289,4,43085.54,172342.16
129,2763,206,5,41186.07,205930.35
130,7382,68,5,3109.75,15548.75
131,7705,128,3,41903.18,125709.54
132,7040,194,5,209.77,1048.85
133,9485,58,1,7901.84,7901.84
134,1300,296,2,22188.95,44377.9
135,8269,32,3,13476.55,40429.65
136,6608,2,1,24744.24,24744.24
137,9423,42,5,45610.52,228052.6
138,9606,88,2,16584.19,33168.38
139,2610,31,2,24333.84,48667.68
140,3448,28,3,42683.96,128051.88
141,9463,291,4,26527.56,106110.24
142,558,169,3,38465.53,115396.59
143,1746,153,3,11039.43,33118.29
144,1612,54,1,31352.13,31352.13
145,7036,250,1,39460.93,39460.93
146,1723,71,1,2953.83,2953.83
147,5137,126,3,9955.86,29867.58
148,4809,86,2,21395.83,42791.66
149,3448,246,3,18689.18,56067.54
150,4340,50,2,31810.94,63621.88
151,2938,197,3,9258.1,27774.3
152,9298,42,3,39080.27,117240.81
153,5475,205,1,25409.3,25409.3
154,4825,208,3,32757.9,98273.7
155,8733,174,3,36648.05,109944.15
156,3653,283,5,12179.66,60898.3
157,250,43,4,6033.61,24134.44
158,2926,241,5,7191.89,35959.45
159,2960,194,2,45668.55,91337.1
160,1304,34,3,41759.17,125277.51
161,322,230,1,21058.0,21058.0
162,9290,65,2,7332.39,14664.78
163,1934,250,1,4312.01,4312.01
164,6208,238,3,10547.49,31642.47
165,536,47,3,38946.88,116840.64
166,929,170,3,22466.8,67400.4
167,598,53,3,12324.19,36972.57
168,368,75,4,41712.34,166849.36
169,6412,232,5,32913.55,164567.75
170,9351,64,5,6437.92,32189.6
171,4498,5,3,48248.62,144745.86
172,2317,273,2,6512.82,13025.64
173,2771,14,1,30307.06,30307.06
174,4359,42,1,46465.98,46465.98
175,4817,65,5,23459.18,117295.9
176,6658,243,4,14880.43,59521.72
177,6733,128,2,35600.21,71200.42
178,2011,104,2,17901.32,35802.64
179,2972,44,2,31635.31,63270.62
180,4500,43,3,777.09,2331.27
181,5448,189,1,21759.3,21759.3
182,2109,240,4,45708.49,182833.96
183,2485,36,4,6272.87,25091.48
184,6894,113,3,28814.13,86442.39
185,6847,45,4,43891.01,175564.04
186,6488,130,5,22626.45,113132.25
187,8251,96,1,23680.14,23680.14
188,9604,170,2,48875.09,97750.18
189,8169,174,4,1032.32,4129.28
190,6297,141,5,33885.5,169427.5
191,7569,42,3,10590.32,31770.96
192,992,99,4,20947.7,83790.8
193,1839,250,3,40461.76,121385.28
194,1715,210,4,12701.17,50804.68
195,1694,75,1,36827.85,36827.85
196,2954,236,2,17526.63,35053.26
197,6854,233,2,48645.9,97291.8
198,8157,163,2,32296.29,64592.58
199,7850,288,3,49890.13,149670.39
200,1338,218,3,23118.05,69354.15
201,5545,193,1,41953.09,41953.09
202,9944,56,3,23466.34,70399.02
203,6023,142,1,18732.43,18732.43
204,7028,62,3,37798.22,113394.66
205,9164,94,2,13821.8,27643.6
206,8966,87,1,31063.78,31063.78
207,8630,258,4,49649.27,198597.08
208,2524,128,3,42575.84,127727.52
209,4544,92,2,6052.63,12105.26
210,2555,286,4,46148.37,184593.48
211,8084,300,4,11004.08,44016.32
212,5372,291,5,31781.86,158909.3
213,6358,27,5,28882.26,144411.3
214,3981,145,4,17904.13,71616.52
215,6116,260,5,12312.11,61560.55
216,4264,123,2,36864.1,73728.2
217,716,51,5,12881.39,64406.95
218,230,145,3,3777.39,11332.17
219,7436,12,1,24516.11,24516.11
220,5687,145,5,29302.67,146513.35
221,9280,164,1,18713.13,18713.13
222,6311,65,2,21616.16,43232.32
223,227,227,4,27824.11,111296.44
224,7090,117,4,14249.43,56997.72
225,308,196,5,42045.55,210227.75
226,5329,292,4,12593.64,50374.56
227,5980,71,1,16493.62,16493.62
228,7929,75,3,26935.07,80805.21
229,5430,196,4,16331.41,65325.64
230,4604,217,3,10820.17,32460.51
231,8355,290,5,23507.88,117539.4
232,9817,112,1,36779.76,36779.76
233,76,1,3,19922.99,59768.97
234,6836,31,3,34112.11,102336.33
235,2186,211,1,41590.84,41590.84
236,2239,154,4,5656.45,22625.8
237,356,170,2,289.12,578.24
238,4388,14,5,49293.23,246466.15
239,1300,231,1,19977.9,19977.9
240,9218,118,3,14909.62,44728.86
241,8356,55,1,43269.65,43269.65
242,1431,63,3,36648.03,109944.09
