order_id,customer_id,order_date,order_status,channel,coupon_code,order_total
1,476,2025-07-06 00:49:18,shipped,mobile,,4828.06
2,276,2025-07-05 19:10:18,placed,store,,15747.24
3,417,2025-08-30 10:59:18,shipped,web,SAVE20,7591.44
4,801,2025-12-10 20:26:18,returned,store,,1027.48
5,985,2025-06-02 04:12:18,returned,web,NEW10,18683.43
6,613,2025-12-07 16:29:18,returned,store,SAVE20,11786.15
7,47,2026-01-22 14:19:18,shipped,mobile,NEW10,8027.04
8,144,2025-07-05 04:57:18,shipped,store,,19156.86
9,699,2025-10-21 17:37:18,returned,store,,5605.66
10,330,2025-10-23 07:24:18,returned,mobile,NEW10,18297.56
11,945,2026-04-13 18:23:18,placed,web,,3636.01
12,714,2025-04-19 22:05:18,placed,web,,13095.08
13,914,2025-05-06 23:10:18,placed,mobile,,7287.72
14,787,2025-04-24 13:46:18,shipped,web,,385.39
15,777,2025-11-22 15:55:18,delivered,web,NEW10,16362.36
16,828,2025-12-23 06:22:18,returned,web,FESTIVE5,9958.19
17,621,2025-12-29 13:41:18,returned,store,,2396.74
18,513,2025-08-06 08:18:18,placed,store,,13509.08
19,180,2026-03-12 19:45:18,delivered,web,FESTIVE5,18684.56
20,903,2025-07-21 14:03:18,placed,store,NEW10,19840.64
21,546,2025-06-05 05:10:18,shipped,mobile,NEW10,18770.23
22,966,2025-05-18 11:59:18,cancelled,mobile,,5625.9
23,478,2025-08-05 02:20:18,delivered,store,SAVE20,1129.9
24,546,2025-08-29 03:53:18,placed,mobile,NEW10,17625.95
25,756,2025-12-20 15:26:18,returned,web,SAVE20,3456.74
26,642,2025-05-30 10:52:18,shipped,web,,15984.97
27,861,2025-12-08 06:47:18,shipped,mobile,NEW10,16468.35
28,243,2026-03-08 18:14:18,shipped,web,,9039.83
29,998,2026-03-15 12:29:18,placed,store,NEW10,15696.4
30,822,2025-09-01 12:34:18,shipped,mobile,NEW10,2216.19
31,54,2025-11-16 01:28:18,placed,mobile,SAVE20,17318.74
32,639,2026-04-09 23:29:18,shipped,mobile,,12460.76
33,961,2025-05-05 13:24:18,shipped,store,SAVE20,2338.53
34,731,2026-03-11 19:03:18,delivered,store,SAVE20,12819.8
35,432,2025-08-11 14:14:18,shipped,web,SAVE20,15981.11
36,320,2025-06-20 00:21:18,returned,mobile,FESTIVE5,11756.59
37,150,2026-01-29 22:34:18,shipped,mobile,FESTIVE5,19411.37
38,674,2025-05-03 09:50:18,placed,store,NEW10,8556.81
39,206,2025-05-23 07:03:18,placed,web,,9619.36
40,479,2025-06-11 15:32:18,cancelled,store,FESTIVE5,12398.84
41,167,2026-02-20 22:57:18,delivered,web,,-4544.24
42,229,2025-04-26 06:24:18,shipped,web,,14744.81
43,340,2025-10-05 07:28:18,placed,web,FESTIVE5,395.86
44,569,2026-02-16 09:35:18,shipped,store,,18271.63
45,999,2026-03-31 07:41:18,placed,web,FESTIVE5,14432.97
46,568,2025-12-11 08:41:18,placed,mobile,NEW10,615.68
47,389,2025-05-15 10:32:18,cancelled,mobile,,4954.97
48,677,2026-01-17 21:02:18,returned,mobile,,1494.47
49,947,2026-02-08 07:41:18,shipped,store,FESTIVE5,6495.44
50,652,2025-12-11 12:05:18,shipped,web,,6024.82
51,254,2026-03-18 17:03:18,placed,web,,19374.01
52,215,2026-03-04 22:03:18,delivered,web,SAVE20,10270.55
53,661,2025-07-29 02:22:18,shipped,web,FESTIVE5,14307.24
54,495,2025-08-04 22:36:18,shipped,store,,13064.8
55,917,2026-01-01 22:58:18,placed,web,FESTIVE5,8615.45
56,161,2025-10-06 05:18:18,placed,web,FESTIVE5,9001.21
57,598,2026-03-24 23:21:18,shipped,mobile,,9457.51
58,824,2025-08-04 03:36:18,placed,web,,4829.05
59,368,2026-03-04 04:00:18,shipped,store,,1747.55
60,234,2026-02-24 10:49:18,placed,store,SAVE20,6808.41
61,257,2025-11-11 14:01:18,delivered,mobile,SAVE20,14171.72
62,876,2025-07-11 05:53:18,delivered,mobile,FESTIVE5,15705.94
63,416,2025-06-22 17:53:18,shipped,store,SAVE20,17336.23
64,741,2025-12-28 22:39:18,shipped,store,,14505.7
65,811,2026-03-03 02:59:18,placed,store,,4349.78
66,572,2026-03-31 02:45:18,shipped,web,FESTIVE5,-18878.41
67,830,2025-05-13 02:32:18,placed,mobile,,15102.0
68,708,2025-07-14 04:33:18,shipped,store,NEW10,18458.45
69,976,2025-10-27 19:13:18,delivered,store,,17365.51
70,210,2025-09-27 11:19:18,placed,mobile,NEW10,6711.06
71,655,2025-11-11 11:43:18,placed,store,SAVE20,834.77
72,501,2026-04-02 08:41:18,placed,mobile,FESTIVE5,4276.67
73,537,2026-03-10 23:50:18,placed,web,SAVE20,6670.09
74,401,2026-01-25 10:45:18,shipped,mobile,,1561.51
75,887,2025-12-31 08:58:18,placed,mobile,,13362.89
76,589,2025-11-07 19:41:18,shipped,store,,-5653.73
77,147,2025-08-30 11:01:18,placed,web,,6712.05
78,503,2025-08-22 23:17:18,placed,web,FESTIVE5,12996.72
79,356,2025-04-21 15:03:18,placed,store,SAVE20,8418.04
80,633,2025-09-05 23:29:18,cancelled,web,,11458.58
81,969,2026-03-24 05:57:18,cancelled,mobile,,10847.2
82,69,2025-04-22 14:07:18,cancelled,mobile,,19849.32
83,378,2026-03-07 10:21:18,delivered,mobile,,9128.53
84,519,2026-03-23 23:52:18,placed,store,,15044.78
85,764,2025-09-23 07:28:18,placed,mobile,NEW10,14240.17
86,687,2025-08-20 22:24:18,placed,store,,4997.41
87,144,2025-08-17 05:00:18,placed,web,,2190.2
88,548,2025-09-27 08:49:18,delivered,web,,5610.39
89,183,2025-12-25 15:51:18,cancelled,store,SAVE20,8952.75
90,651,2025-07-21 17:11:18,delivered,web,,13868.86
91,613,2026-04-13 12:04:18,placed,web,SAVE20,7617.97
92,94,2026-04-07 00:52:18,returned,mobile,SAVE20,13663.2
93,982,2026-02-24 16:43:18,delivered,web,,10347.5
94,331,2025-07-01 17:41:18,shipped,store,,18790.68
95,219,2026-02-20 02:33:18,placed,mobile,,6461.56
96,470,2025-12-24 11:11:18,delivered,store,,7505.8
97,224,2025-09-17 04:04:18,shipped,web,,10816.39
98,871,2025-06-28 08:37:18,returned,store,FESTIVE5,19632.03
99,695,2025-04-25 09:32:18,placed,store,FESTIVE5,19564.83
100,70,2025-10-26 13:15:18,cancelled,mobile,,10318.32
101,516,2025-06-18 15:53:18,placed,store,NEW10,6315.2
102,776,2025-12-11 18:48:18,placed,mobile,,6072.97
103,210,2025-05-22 12:38:18,cancelled,store,,14837.26
104,285,2025-11-03 17:03:18,delivered,store,,13031.32
105,25,2025-12-18 14:32:18,placed,web,,1270.66
106,255,2025-04-28 15:07:18,placed,mobile,,6568.41
107,7,2026-03-12 22:49:18,returned,web,,19841.85
108,129,2026-02-28 08:16:18,shipped,web,SAVE20,10247.01
109,479,2025-11-07 08:07:18,placed,mobile,SAVE20,12195.85
110,591,2025-08-28 17:41:18,placed,mobile,NEW10,19030.06
111,387,2026-01-19 22:25:18,shipped,store,,8781.92
112,977,2025-08-12 13:05:18,placed,web,FESTIVE5,11984.63
113,745,2026-01-16 05:29:18,shipped,mobile,FESTIVE5,7627.91
114,74,2025-10-27 09:08:18,shipped,web,SAVE20,282.77
115,748,2025-10-05 22:28:18,cancelled,mobile,,7588.27
116,657,2025-06-18 11:27:18,cancelled,web,,18656.17
117,782,2025-09-04 05:04:18,cancelled,store,FESTIVE5,10290.25
118,706,2025-10-08 15:50:18,delivered,mobile,,5086.48
119,944,2025-10-11 17:08:18,delivered,store,,12977.6
120,467,2025-05-02 09:37:18,placed,store,,16862.01
121,790,2026-02-26 17:08:18,cancelled,mobile,,11805.98
122,531,2026-01-09 00:43:18,delivered,mobile,,6183.95
123,675,2025-10-01 19:34:18,delivered,store,NEW10,2363.63
124,817,2025-10-21 09:36:18,delivered,store,,-14040.38
125,173,2025-08-07 13:47:18,placed,store,,10594.25
126,751,2025-09-07 08:42:18,placed,store,SAVE20,4120.81
127,972,2026-02-17 23:17:18,delivered,web,SAVE20,1367.84
128,778,2026-01-07 04:56:18,cancelled,mobile,,18276.83
129,652,2026-01-20 11:35:18,placed,web,FESTIVE5,1472.4
130,241,2025-08-13 22:10:18,delivered,web,NEW10,5468.4
131,682,2025-06-21 12:47:18,placed,web,,12139.1
132,780,2025-11-29 22:23:18,delivered,store,,6863.69
133,352,2025-11-05 06:30:18,delivered,mobile,,1333.38
134,339,2026-02-23 13:24:18,cancelled,mobile,,16741.34
135,27,2025-06-11 09:58:18,shipped,store,SAVE20,7494.91
136,675,2025-08-14 21:27:18,delivered,web,,19159.43
137,18,2025-05-26 01:58:18,placed,store,FESTIVE5,13623.0
138,497,2025-09-22 14:14:18,delivered,mobile,,18793.88
139,488,2025-05-12 14:56:18,placed,mobile,FESTIVE5,12222.04
140,891,2025-07-22 19:03:18,cancelled,store,NEW10,2731.65
141,309,2025-05-05 19:58:18,shipped,mobile,NEW10,9746.94
142,250,2025-12-28 08:05:18,cancelled,store,NEW10,2288.3
143,30,2026-01-23 02:56:18,placed,mobile,SAVE20,14439.66
144,975,2025-05-07 10:11:18,placed,store,,14563.21
145,709,2025-10-27 05:54:18,shipped,store,NEW10,12950.93
146,735,2025-10-01 17:12:18,delivered,mobile,SAVE20,4626.31
147,90,2026-02-17 11:32:18,delivered,web,,18851.75
148,131,2025-11-06 01:17:18,delivered,mobile,NEW10,11883.18
149,398,2025-09-11 03:04:18,placed,store,SAVE20,10491.08
150,228,2026-02-20 01:53:18,shipped,mobile,FESTIVE5,3065.08
151,858,2025-12-23 22:10:18,shipped,store,FESTIVE5,3088.24
152,821,2025-04-21 12:15:18,placed,store,,2644.59
153,724,2025-06-25 22:13:18,delivered,mobile,FESTIVE5,14141.98
154,830,2025-10-27 09:01:18,delivered,store,SAVE20,14068.07
155,887,2026-01-13 22:07:18,placed,store,SAVE20,19823.05
156,346,2025-09-10 16:23:18,returned,mobile,,1622.1
157,290,2025-04-24 07:09:18,cancelled,mobile,NEW10,2791.83
158,595,2026-03-18 15:34:18,shipped,web,,2923.71
159,299,2026-01-31 07:40:18,delivered,web,,13094.51
160,877,2025-06-25 10:10:18,delivered,web,,19017.88
161,862,2026-01-19 12:47:18,placed,mobile,SAVE20,18912.25
162,528,2025-05-18 03:16:18,shipped,web,,14506.5
163,122,2025-12-13 01:22:18,placed,store,SAVE20,13125.38
164,709,2025-05-06 16:48:18,delivered,store,,5649.28
165,377,2026-04-10 10:46:18,placed,mobile,,13442.09
166,24,2025-06-18 19:17:18,shipped,store,,2072.15
167,394,2025-08-10 17:09:18,shipped,store,SAVE20,2168.94
168,931,2025-07-14 08:28:18,delivered,web,,11209.99
169,832,2025-07-17 22:49:18,shipped,store,,14332.23
